"All TYRES","الكفرات"
"Thanks for signing up to keep in touch with TyresOnline and Please do check the following login credentials for your TyresOnline account.","شكراً لتسجيل اشتراكك لتبقى على اتصال مع TyresOnline. يرجى التحقّق من بيانات تسجيل الدخول التالية لحسابك على TyresOnline"
"THE BRANDS WE TRUST","إطارات من علامات تجارية نثق بها"
"The customer has paid TyresOnline only for new tyres, installation, balancing and disposal of old tyres. You have the right to charge the customer for any further additional services provided by you to the customer.","سدّد العميل لـ TyresOnline كلفة الإطارات الجديدة وتركيبها وضبط توازنها والتخلص من الإطارات القديمة. لك الحق في  تقاضي ثمن أيّ خدمةٍ إضافية يطلبها العميل منه مباشرةً"
"THE MOST CONVENIENT WAY",""
"The total amount includes the price of the new tyre, delivery, installation, balancing and disposal of old tyres. Please find your order details below.","السعر الإجمالي يشمل سعر الإطارات الجديدة، وتوصيلها، وتركيبها وضبط توازنها والتخلص من الإطارات القديمة. يرجى الاطلاع على تفاصيل طلبك أدناه"
"The tyres supplied to you under this work order must be fitted ONLY to the Vehicle bearing the license plate number and the description specified here.","ينبغي تركيب الإطارات التي تمّ إرسالها لك بموجب هذا الطلب للسيارة التي تحمل رقم لوحة الترخيص والوصف المحدّد في هذه الاستمارة "
"The TyresOnline team","فريق عمل TyresOnline"
"The work order will not be considered complete unless the customer sign this work order and you email back a scanned copy to your TyresOnline contact.","لن يُعتبر طلب العمل مُنجزاً إلا بعد إرسالك نسخةً ممسوحةً من هذه الاستمارة إلى TyresOnline على أن تكون موقّعةً من العميل"
"This is a required field.","هذه الخانة إلزامية"
"TO BUY AND FIT NEW BATTERY","لشراء وتركيب بطارية جديدة"
"TO BUY AND FIT NEW PARTS","لشراء وتركيب قطع غيار جديدة"
"TO BUY AND FIT NEW TYRES","لشراء وتركيب إطارات جديدة"
"DEVTO BUY AND FIT WHEEL PROTECTORS","لشراء وتركيب أجهزة حماية العجلات"
"TO BUY AND FIT WHEEL PROTECTORS",""
"Transfer Case","علبة التحويل"
"Transfer case oil leaks","تسريبات الزيت في علبة التحويل"
"Transmission leaks","تسريبات ناقل الحركة"
"Transmission mounts","دعائم ناقل الحركة"
"TYRE BRANDS WE TRUST","كفرات من علامات تجارية نثق بها"
"Tyre condition","حالة الإطار"
"Tyre DOT","رمز DOT الخاص بالإطار"
"Tyre pressure","ضغط الهواء في الإطار"
"Tyres","الكفرات"
"TYRES","الكفرات"
"Tyres by Brand","كفرات حسب العلامة التجارية"
"TyresOnline is simply the best way to purchase tyres in Saudi Arabia. We ensure that you get the best at a competitive price. Our wide range of quality tyre brands are all available online, making it easy for you to search and find tyres based on your criteria.","موقع TyresOnline هو وجهتك الأولى والمثالية لشراء الكفرات في المملكة العربية السعودية. يضمن لك موفعنا الحصول على أفضل نوع بأسعارٍ تنافسية لن تجد لها مثيل، ونوفر لك تشكيلة واسعة من أشهر الماركات العالمية في صناعة الكفرات، وكلها من خلال موقعنا الإلكتروني."
"Why not start with the tyre brand you already trust and feel comfortable with? If your preferred brand is not listed here, you can always reach out to us, our team will do their best to get you the tyre brand you want.","لتسهيل عملية البحث عن الكفرات المناسبة لسيارتك، كل ما عليك أن تبدأ باختيار الكفر الذي تريده من الماركة التي تثق فيها، وإن لم تكن متاحةً متاحة على موقعنا، تواصل معنا لتبلغنا بنوعه، وفريقنا سيبذل أقصى مجهود لتأمين طلبك."
"Tyre Brands","ماركات الكفرات"
"UNIT PRICE","سعر الوحدة"
"United Arab Emirates","المملكة العربية السعودية"
"Tax","ضريبة القيمة المضافة 15%"
"VEHICLE","نوع السيارة"
"Vehicle","نوع السيارة"
"VEHICLE FULLY RAISED","المركبة مرفوعة بالكامل"
"Vehicle Fully Raised","المركبة مرفوعة بالكامل"
"VEHICLE HALF RAISED","المركبة نصف مرفوعة"
"Vehicle Half Raised","المركبة نصف مرفوعة"
"Vehicle Information","معلومات المركبة"
"VEHICLE ON FLOOR","المركبة على الأرض"
"Vehicle On Floor","المركبة على الأرض"
"VEHICLE PLATE","لوحة المركبة"
"Vehicle Plate","لوحة المركبة"
"View Location","عرض الموقع"
"VIN NUMBER","رقم تعريف المركبة"
"VIN Number","رقم تعريف المركبة"
"Warning lights on dashboard Next service","الأضواء التحذيرية على لوحة القيادة الخدمة التالية"
"WARRANTY PERIOD","فترة الكفالة"
"Washer","سائل المساحات"
"Washer level","مستوى سائل المساحات"
"We have received a requests to change the following information associated with your account at TyresOnline password. If you have not authorized this action, please contact us immediately at customercare.sa@tyresonline.com or call us at 800 255 89737.","تلقينا طلباً لتغيير المعلومات التالية المرتبطة بحسابك على TyresOnline. إذا لم تكن أنت مَن سمح بهذا الإجراء، يُرجى التواصل معنا فوراً على العنوان customercare.sa@tyresonline.com أو الاتصال بنا على الرقم 89737 255 800"
"WE HAVE STRATEGICALLY PARTNERED UP WITH TYRE SPECIALISTS ACROSS THE 7 EMIRATES, MAKING IT EASY FOR YOU TO ORDER TYRES ONLINE AND GET THEM FITTED ON YOUR VEHICLE.","تضم شبكة شركائنا أسماء كبيرة في عالم الكفرات في جميع أنحاء المملكة العربية السعودية. ولذلك نحن نضمن لك أسرع استبدال لكفرات سيارتك أيًا كان مكانك، وبأفضل خدمة عملاء قد تتخيلها على الإطلاق."
"WELCOME TO TYRESONLINE","أهلاً بك في  TYRESONLINE"
"Wheel Protectors","أدوات حماية العجلات"
"WHEELS","العجلات"
"While inspecting the vehicle, technician may recommend replacing the Brake Pads or Brake Disks.","أثناء فحص السيارة، قد يوصي الخبير الفني باستبدال بطانات الفرامل أو أقراصها"
"WHY TYRES ONLINE?","ما الذي يُميّز تايرز اونلاين"
"Width","العرض"
"Windscreen Washer","سائل غسل الزجاج الأمامي"
"Wiper blades","شفرات المسّاحات"
"With Fitting","مع التركيب"
"With tyre Installation - Deliver to Installer Partner","مع التركيب - ستقوم بتوصيل سيارتك إلى مركز الصيانة"
"Year","سنة الصنع"
"YOU ARE SIGNED OUT","جرى تسجيل خروجك"
"You are signed out","جرى تسجيل خروجك"
"You can wait in the Stop&Go lounge where water, coffee and tea is available upon request. When your oil change is complete, you will be informed or contacted.","يمكنك الانتظار في صالة "ستوب أند غو"، حيث تتناول المياه والقهوة والشاي، إذا رغبت في ذلك. وحين تنتهي عملية استبدال بطارية سيارتك، سيتمّ إبلاغك بذلك أو الاتصال لك."
"You do not have any saved cards yet.","ليس لديك أي بطاقة محفوظة بعد"
"You have been successfully subscribed to our newsletter.","تمّ اشتراكك بنجاح في نشرتنا الإخبارية"
"You have been unsubscribed from the newsletter.","تمّ إلغاء اشتراكك في نشرتنا الإخبارية"
"You have no items in your shopping cart.","سلّة التسوّق خالية "
"You have not set a default billing address.","لَم تُدخِل عنوان فوترة محدّداً مسبقاً"
"You have not set a default 	.","لَم تُدخِل عنوان شحن محدّداً مسبقاً"
"You have recently added this product to your Cart","لقد قمت بإضافة هذا المنتج إلى عربة التسوق"
"You have signed out and will go to our homepage in 5 seconds.","تمّ تسجيل خروجك وسيتمّ تحويلك إلى صفحتنا الرئيسية في غضون 5 ثوانٍ"
"You have submitted no reviews.","لم تدوّن أي تعليق"
"You must first add a full billing address before you can add saved cards.","عليك أولاً إضافة عنوان فوترة كامل قبل إضافة أيّ بطاقاتٍ محفوظة"
"You recently requested to reset your password for your TyresOnline account. Use the button below to reset it. This password reset is only valid for the next 24 hours.","طلبت مؤخراً إعادة ضبط كلمة المرور لحسابك على TyresOnline. استخدم الزر أدناه لإعادة ضبطها. لا يمكنك استخدام كلمة المرور الجديدة إلا بعد أربع وعشرين ساعة "
"You subscribe to "General Subscription".","لقد اشتركت بـ"الاشتراك العام""
"You will be contacted soon to confirm tyre STOCK availability and to firm up your appointment with the installer.","سيتم التواصل معك قريباً لتأكيد توفّر الإطار في المخزون وتحديد موعدك مع مزوّد خدمة التركيب."
"You will be contacted soon to firm up your appointment with the installer.","سيتم التواصل معك قريباً لتحديد موعدك مع مزوّد خدمة التركيب"
"YOUR Add Vehicle CAR SERVICE ?","إضافة خدمة صيانة مركبتك؟ "
"Your Email","بريدك الإلكتروني"
"Your Enquiry","استفسارك"
"Your name","اسمك"
"Your Name","اسمك"
"Your order","طلبك"
"Your Vehicle","مركبتك"
"Zip/Postal Code","الرمز البريدي"
"Offers","العروض"
"© TyresOnline.sa, All Rights Reserved.","©جميع الحقوق محفوظة لشركة TyresOnline.sa"
"TyresOnline.ae Home","TyresOnline.sa Home"
"TyresOnline.ae","TyresOnline.sa"
"TyresOnline.sa Home","TyresOnline.sa Home"
"TyresOnline.sa","TyresOnline.sa"
"tyresonline.ae","tyresonline.sa"
"Welcome To Tyres Online KSA","مرحباً بك في تايرز أونلاين السعودية"
"Welcome To Tyres Online UAE","مرحباً بك في تايرز أونلاين السعودية"
"ANYWHERE IN THE UAE","في كافة أنحاء السعودية"
"All over UAE","في جميع أنحاء المملكة العربية السعودية"
"We are strategically partnered with tyre fitment centers across the 7 Emirates, making it easy for you to order tyres online and get them fitted on your vehicle.","تضم شبكة شركائنا أسماء كبيرة في عالم الكفرات في جميع أنحاء المملكة العربية السعودية. ولذلك نحن نضمن لك أسرع استبدال لكفرات سيارتك أيًا كان مكانك، وبأفضل خدمة عملاء قد تتخيلها على الإطلاق."
"50+","+50"
"Rear Tyre Selection","اختيار الإطارات الخلفية"
"Rear Tyre Selection: "," :اختيار الإطارات الخلفية"
"No time slot is available.","لا يوجد فترة زمنية متاحة."
"Without tyre Installation - Deliver to my Address","بدون التركيب - التوصيل إلى عنواني"
"Fitting Location Choice","ابحث عن مراكز التركيب"
"Select","يختار"
"Search Location","موقع البحث"
"View All in Map","عرض الكل في الخريطة"
"Pick-Up Options","خيارات البيك اب"
"Pick-Up","يلتقط"
"Drop-Off","إنزال"
"Pick-Up + Drop-Off","بيك اب + إنزال"
"Select your location","حدد موقعك"
"See on Map","انظر على الخريطة"
"See On Map","انظر على الخريطة"
"Pin On Map","تثبيت على الخريطة"
"Select Installer","حدد المثبت"
"SELECT THIS INSTALLER","حدد هذا المثبت"
"Fitment Date","تاريخ الإعداد"
"Fitment Time","وقت الإعداد"
"Please select fitting installer.","الرجاء تحديد المثبت المناسب."
"Not available pick-up/drop-off service at this location.","خدمة التوصيل / التوصيل غير متوفرة في هذا الموقع."
"Select Model","حدد الطراز"
"Select Year","حدد السنة"
"New Address","عنوان جديد"
"Allow remote shopping assistance","السماح بمساعدة التسوق عن بعد"
"Discount","خصم"
"discount","خصم"
"discount?","خصم؟"
"on one set of 2 or 4 tyres","على مجموعة واحدة من 2 أو 4 إطارات"
"Just share with us your vehicle details","فقط شارك معنا تفاصيل سيارتك"
"to enhance your experiene on this website","لتعزيز تجربتك على هذا الموقع"
"Create an account?","إنشاء حساب؟"
"Additional","إضافي"
"Valid on accessories, battery and oil change.","صالح على الملحقات والبطارية وتغيير الزيت."
"Just create an account by choosing a password,","فقط قم بإنشاء حساب عن طريق اختيار كلمة مرور ،"
"or simply login with your facebook or Google account.","أو ببساطة قم بتسجيل الدخول باستخدام حساب Facebook أو Google الخاص بك."
"e-mail","البريد الإلكتروني"
"FREE FITMENT & BALANCING","تركيب وتوازن مجاني"
"set of 2","مجموعة من 2"
"per tyre","لكل إطار"
"Tyre fitment & wheel balancing included","يشمل تركيب الإطارات وموازنة العجلات"
"Tyre fitment &amp; wheel balancing included","يشمل تركيب الإطارات وموازنة العجلات"
"DETAILS","تفاصيل"
"add to cart","أضف إلى السلة"
"Buy Now","اشتري الآن"
"BUY NOW","اشتري الآن"
"Call Us","اتصل بنا"
"Call us","اتصل بنا"
"CALL US","اتصل بنا"
"FRONT","أمامي"
"REAR","مؤخرة"
"FRONT + REAR","أمامي + خلفي"
"FREE FITMENT AND BALANCING","تركيب وتوازن مجاني"
"Modify","تعديل"
"per litre","للتر الواحد"
"1 YEAR WARRANTY OR SERVICE INTERVAL OF YOUR VEHICLE","ضمان لمدة عام أو لموعد الصيانة القادم"
"Contact us to know what is right amount of oil for your vehicle.","اتصل بنا  لمعرفة كمية الزيت المناسبة لسيارتك"
"1 YEAR WARRANTY OR 15,000 KM'S","ضمان لمدة سنة أو 15,000 كم"
"3 YEARS WARRANTY OR 30,000 KM'S - With new brake pads & discs","ضمان لمدة 3 سنوات أو 30،000 كم - مع وسادات وأقراص فرامل الجديدة"
"Brake Sensor","مستشعر الفرامل"
"18 MONTHS WARRANTY OR SERVICE INTERVAL OF YOUR VEHICLE","ضمان لمدة 18 شهراً أو لموعد الصيانة القادم"
"12 MONTHS WARRANTY OR SERVICE INTERVAL OF YOUR VEHICLE","ضمان لمدة 12 شهراً أو لموعد الصيانة القادم"
"Oil","الزيت"
"Change","تغيير"
"Check ( ","يفحص("
" ) to indicate",") للإشارة"
"items to include","العناصر المراد تضمينها"
"Basic","الأساسي"
"Standard","القياسية"
"Premium","بريميوم"
"Superb","المتميّزة"
"Select Service Pack","حدد حزمة الخدمة"
"Oil Brand","ماركة الزيت"
"Air Filter Brand","ماركة فلتر الهواء"
"Oil Filter Brand","ماركة فلتر الزيت"
"In Comparison mode, changing ac filter brand or ac filter will render same result in AC Filter selection.","في وضع المقارنة ، سيؤدي تغيير ماركة مرشح التيار المتردد أو مرشح التيار المتردد إلى عرض نفس النتيجة في تحديد مرشح التيار المتردد."
"AC Filter Brand","ماركة فلتر مكيف الهواء"
"In Comparison mode, changing oil filter brand or oil filter will render same result in Oil Filter selection.","في وضع المقارنة ، سيؤدي تغيير ماركة فلتر الزيت أو فلتر الزيت إلى عرض نفس النتيجة في اختيار فلتر الزيت."
"In Comparison mode, changing air filter brand or air filter will render same result in Air Filter selection.","في وضع المقارنة ، سيؤدي تغيير العلامة التجارية لمرشح الهواء أو مرشح الهواء إلى عرض نفس النتيجة في تحديد مرشح الهواء."
"Car Check","فحص السيارة"
"Spark Plugs Check","فحص شمعات الإشعال"
"While inspecting the vehicle, technician may recommend replacing the Spark Plugs.","أثناء فحص السيارة ، قد يوصي الفني باستبدال شمعات الإشعال."
"Spark plugs are quoted separetly, they are not included in the package.","يتم عرض شمعات الإشعال بشكل منفصل ، ولا يتم تضمينها في العبوة."
"Power","قوة"
"Fuel","الوقود"
"Fuel process Type","نوع عملية الوقود"
"Manufactured from / to","مصنعة من / إلى"
"Car body","هيكل السيارة"
"Related Parts","قطع غيار ذات صلة"
"Lubricants","الزيوت"
"Brake Pads","وسادات الفرامل"
"Car Battery","بطارية السيارة"
"CAR BATTERY","بطارية السيارة"
"Replacement","استبدال"
"REPLACEMENT","استبدال"
"Packs","حزم"
"All Parts","كل الأجزاء"
"Car Tyres","إطارات السيارة"
"Edit Vehicle","تحرير السيارة"
"Login / Sign Up","الدخول التسجيل فى الموقع"
"Please select date and time","الرجاء تحديد التاريخ والوقت"
"Price - Low To High","السعر - من الأدنى إلى الأعلى"
"Price - High To Low","السعر - من الأعلى إلى الأدنى"
"Enter a location...","... أدخل موقعاً"
"View Result","أظهِر النتائج"
"Select your vehicle’s location, and schedule the time for the service.","حدد موقع سيارتك وجدول موعد الخدمة."
"One of our agents will contact you to confirm location and time.","سيتصل بك أحد وكلائنا لتأكيد الموقع والوقت."
"Enter your Location","أدخل موقعك"
"Select Location from a Map","حدد الموقع من الخريطة"
"Additional Notes","ملاحظات إضافية"
"AlloyGators are for wheels ranging from 12″ to 24″ diameter. Each set contains 4 AlloyGator wheel protectors,","تناسب أدوات حماية "AlloyGator" الإطارات التي يتراوح قطرها بين 12 إلى 24 إنشاً. يتكون كل طقم من 4 قطع حماية للإطارات بالإضافة إلى 6 مشابك وصل ومشابك فولاذية للتركيب وأخيراً الغراء. تتوفر واقيات "AlloyGator" بـ 14 لوناً مختلفاً تمكنك من اختيار ما يناسب ذوقك. "
" 6 joining clips, stainless steel securing clips and glue. AlloyGators are also available in 14 colours.",""
"AlloyGator is the only truly engineered wheel protection solution on the market","AlloyGator هو الحل الأمثل لحماية إطارات سيارتك."
"AlloyGator rim protectors fit between the wheel and tyre and are held in place with diamond gripping technology. The AlloyGators use specially designed locking teeth, diamond grips and robust stainless-steel clips to ensure a secure, long-lasting fit to your vehicle. AlloyGators have a rounded edge and matt finish to compliment the appearance of your wheels.","يتم تركيب واقيات "AlloyGator" بين الجنوط والإطارات وهي مزودة بأكثر من مشبك لضمان ثباتها بإحكام على الإطارات. ستساعدك واقيات "AlloyGator" في حماية الإطارات والجنوط وإدامة فترة استخدامها لأطول وقت ممكن بالإضافة إلى إضفاء لمسة جمالية على سيارتك."
"The Brands","علامات "
"We Trust","نثق بها"
"ANYWHERE IN DUBAI","في كافة أنحاء دبي"
"Get a Quote","إقتبس"
"Shop Now","تسوق الآن"
"Color","اللون"
"FITMENT INCLUDED",التركيب متضمن
"Search by Code","البحث عن طريق الكود"
"MatraX","ماتراكس"
"Privacy Policy","سياسة الخصوصية"
"AED","ريال"
"SAR","ريال"
"set of","طقم من"
"Auto Parts","قطع غيار السيارات"
"Add To Cart","أضف إلى عربة التسوق"
"Size","حجم"
"Origin","بلد المنشأ"
"Warranty","الضمان"
"Description","وصف المنتج"
"Litre","لتر"
"Reset","مسح البيانات"
"Pirelli","بيريللي"
"MatraX","ماتراكس"
"Goodyear","جوديير"
"Toll Free:",":الرقم المجاني"
"COMPETITIVE","منافسة"
"Tyre Size","مقاس الإطار"
"Note: Most vehicle manufacturer’s produce vehicles with more than one possible size.  We strongly recommend all customers check the tyre size printed on the side wall of their tyres before purchase.","ملاحظة: يُنتج معظم مصنعي السيارات مركبات يمكن لها أن تأخذ أكثر من مقاس. ننصح عملاءنا بشدة بالتأكد من مقاس الإطار المُبيّن على الجهة الجانبية قبيل إتمام عملية الشراء."
"Front Tyre Selection","اختيار الإطارات الأمامية"
"Front Tyre Selection: "," :اختيار الإطار الأمامي"
"Current Selection: ",":الاختيار الحالي"
"Search an option ..","أبحث عن .. "
"Video","فيديو"
"Show","عرض المنتجات"
"PRODUCT INFORMATION","معلومات المنتج"
"Product Name","اسم المنتج"
"Load / Speed Index","مقياس السرعة \ الحمولة"
"Manufactory Year","سنة الصنع"
"All prices include VAT","تشمل الأسعار ضريبة القيمة المضافة"
"SKU","رمز المنتج"
"Original Article Number","رقم السلعة العالمي"
"Article Number","رقم السلعة العالمي"
"Product Group","مجموعة المنتج"
"View more details","المزيد من التفاصيل"
"Brake Disc Type","نوع قرص الفرامل"
"View Cart","أظهر عربة التسوق"
"Summary","المجموع"
"Enter Your discount code","قم بإدخال كود الخصم"
"Cancel","إلغاء"
"Please select fitting installer and proceed to checkout.","يُرجى اختيار موقع التركيب ومن ثم تابع إتمام الشراء"
"All Installers","كل مواقع التركيب"
"Checkout","إتمام عملية الشراء"
"You can create an account after checkout.","يمكنك إنشاء حساب بعد إتمام عملية الشراء."
"We'll send your order confirmation here.","سنقوم بإرسال تأكيد الطلب إلى هنا."
"Area","المنطقة"
"Select Area","اختَر المنطقة"
"Company Details(Optional)","بيانات الشركة (اختياري)"
"Shipping Methods","طُرُق الشحن"
"You have selected","لقد قمت باختيار"
"Any comments regarding the order?","هل لديك أي ملاحظات حول الطلب؟"
"Cart Subtotal","المجموع الفرعي"
"View and Edit Cart","إظهار وتعديل محتويات عربة التسوّق"
"more details","المزيد من التفاصيل"
"If you have an account, sign in with your email address.","إذا كان لديك حساب، قم بتسجيل الدخول باستخدام بريدك الإلكتروني."
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","يمكنك الاستفادة من حسابك بالعديد من الميزات منها: إتمام أسرع لطلبك وحفظ أكثر من عنوان وتتبع الطلبات وأكثر."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","حدث خطأ ما أثناء تسجيل الدخول إلى حسابك، أو أن حسابك قد توقف مؤقتاً، يُرجى الانتظار والمحاولة لاحقاً."
"Create New Customer Account","إنشاء حساب جديد"
"Personal Information","البيانات الشخصية"
"Sign-in Information","بيانات تسجيل الدخول"
"If you are a registered VAT customer, please click here to enter your billing address for proper VAT calculation.","إذا كنت مسجّلاً كعميل بضريبة القيمة المضافة، يُرجى إدخال عنوان للفوترة لاحتساب ضريبة القيامة المضافة بشكل صحيح."
"You aren't subscribed to our newsletter.","لم تنضم إلى قائمتنا البريدية."
"Change Password","تغيير كلمة المرور"
"Manage Addresses","إدارة العناوين"
"You have placed no orders.","لم تقم بعمل أي طلبات"
"Change Shipping Address","تغيير عنوان الشحن"
"Change Billing Address","تغيير عنوان الفوترة"
"Additional Address Entries","بيانات عنوان إضافية"
"You have no other address entries in your address book.","ليس لديك أي عنوان آخر في سجل عناوينك."
"VAT Number","الرقم الضريبي"
"Use as my default billing address","استخدم عنوان الفوترة الافتراضي الخاص بي"
"Use as my default shipping address","استخدم عنوان الشحن الافتراضي الخاص بي"
"It's a default billing address.","إنه عنوان الفوترة الافتراضي"
"It's a default shipping address.","إنه عنوان الشحن الافتراضي"
"You saved the address.","لقد قمت بحفظ هذا العنوان."
"Current Password","كلمة المرور الحالية"
"Confirm New Password","تأكيد كلمة المرور"
"Save","حفظ"
"Delete","حذف"
"Enter your card details:","قم بإدخال بيانات بطاقتك:"
"per page","بالصفحة الواحدة"
"You do not have any subscriptions yet.","ليس لديك أي اشتراكات بعد."
"You can track your order status by creating an account.","يمكنك تتبع حالة طلبك بإنشاء حساب خاص بك."
"We'll email you an order confirmation with details and tracking info.","سنرسل لك رسالة تأكيد الطلب وطريقة تتبع الطلب على بريدك الإلكتروني."
"Thank you for your purchase!","رائع، لقد تم استلام طلبك!"
"Woohaa, Your order is placed!","رائع، لقد تم استلام طلبك!"
"Your order # is: ",":رقم طلبك هو"
"Your order # is:",":رقم طلبك هو"
"Mobile Tyre Van Service","سيارة تركيب الإطارات"
"For delivery questions.","لاستفسارات التوصيل"
"View All","أظهِر الكل"
"Processing","قيد المعالجة"
"Complete","تم بنجاح"
"Make","النوع"
"Last Name","الاسم الأخير"
"My Account","حسابي"
"Your Selections","اختياراتك"
"If loader does not close automatically, please Click Here","إن لم يحولك المتصفح تلقائياً، اضغط هنا"
"View and Edit Cart","إظهار وتعديل عربة التسوّق"
"Order Summary","إجمالي الطلب"
"Items in Cart","السلع التي اخترتها"
"Item in Cart","السلع التي اخترتها"
"Shipping Address","عنوان الشحن"
"Area","المنطقة"
"You have selected ","لقد قمت باختيار"
"Credit/Debit – Visa/Mastercard","بطاقة الخصم\الائتمان - فيزا\ماستر كارد"
"TRN","رقم السجل الضريبي"
"CALL TOLL FREE","اتصل على الرقم المجاني"
"سيارتك","سيــــــــــارتك"
"Black","أسود"
"Graphite","الغرافيت"
"Silver","فضي"
"White","أبيض"
"Bronze","برونزي"
"Gold","ذهبي"
"Blue","أزرق"
"Purple","بنفسجي"
"Sky Blue","أزرق سماوي"
"Green","أخضر"
"Yellow","أصفر"
"Pink","وردي"
"Orange","برتقالي"
"Red","أحمر"
"Get a car battery or car jumpstart at your location in Dubai.","احصل على بطارية السيارة أو محرك السيارة في موقعك في دبي."
"Select your location in Dubai","اختَر موقعك في دبي"
"We’re doing our best to reach you at the earliest, Urgent fixes?"," نعمل بأقصى طاقتنا للوصول إليك، بحاجة لإصلاح عاجل؟"
"Shipping & Handling ","رسوم التركيب"
"Shipping & Handling","رسوم التركيب"
"VAT(15%)","ضريبة القيمة المُضافة (15%)"
"Time","زمن"
"800 255 89737","89737 255 800"
"TYRES, IT'S WHAT WE DO","الإطارات، مهنتنا ومجالنا"
"Copyright © 2022 Easy Click Tyres Trading L.L.C., All rights reserved.","حقوق النشر © 2022 ايزي كليك لتجارة الإطارات ش.ذ.م.م، جميع الحقوق محفوظة "
"Location Map","موقع التركيب"
"SHOP AT TYRESONLINE","تسوّق مع تايرز أونلاين"
"The easiest way to buy tyres online, anywhere in the KSA.","أسهل طريقة لشراء الكفرات أونلاين من أي مكان في السعودية"
"Shop Tyres","أبحث عن كفرات جديدة"
"Search by the tyre size or vehicle details, select quantity and add to cart."," ابحث حسب حجم الإطار أو نوع السيارة، اختَر الكمية وأضِفها إلى عربة التسوق."
"Tyre Fitment"," تركيب الكفرات الجديدة"
"TYRE FITMENT"," تركيب الكفرات"
"CENTERS","مركزا"
"Select one of our partner installers.","اختَر أحد شركائنا لتتمكن من إجراء عملية التركيب لديه."
"Buy Tyres","شراء كفرات"
"Easy checkout and secure payment options.","عملية إتمام الطلب سهلة جداً وخيارات الدفع آمنة تماماً."
"We've got a great tyre partnership networks all over KSA, this guarantees you the quickest service ever along with the Ultimate customer happiness you ever pictured!","تضم شبكة شركائنا أسماء كبيرة في عالم الكفرات في جميع أنحاء المملكة العربية السعودية. ولذلك نحن نضمن لك أسرع استبدال لكفرات سيارتك  أيًا كان مكانك، وبأفضل خدمة عملاء قد تتخيلها على الإطلاق."
"Get your tyres replaced with the best prices of high-end tyre brands from all over the world, Don't wait any longer!","استبدل كفرات سيارتك بأفضل الأسعار في المملكة العربية السعودية، ومن أفضل الأسماء في عالم صناعة 
الكفرات من جميع أنحاء العالم. لا تنتظر، اتجه إلى مراكز خدماتنا في أي مكان!"
"TYRES ANYWHERE IN THE KSA","إطارات وكفرات في كافة أنحاء السعودية"
"We are it! We're always online, search and find the tyres you need from the comfort of wherever you are in the KSA.","إنه هنا! ستجدنا دائماً عبر الإنترنت، قم بالبحث عن الكفرات التي تحتاجها وقم بشرائها أونلاين من أي مكان في السعودية."
"Authorized Tyre brands","ماركات كفرات معتمدة"
"We have brands for every taste and need. From globally established, award winning and innovative brands to newcomers in the market looking to make their mark.","لدينا علامات تجارية تلبي كل الأذواق والاحتياجات، من العلامات العالمية الراسخة والحائزة على جوائز والمبتكرة، إلى العلامات الناشئة في السوق التي تسعى لترك بصمتها."
"We have brands for every taste and need. From globally established, award winning and innovative brands to newcomers to the market looking to make their mark.","لدينا علامات تجارية تلبي كل الأذواق والاحتياجات، من العلامات العالمية الراسخة والحائزة على جوائز والمبتكرة، إلى العلامات الناشئة في السوق التي تسعى لترك بصمتها."
"Tyres Jeddah","كفرات جدة"
"Tyres Riyadh","كفرات الرياض"
"Tyres Makkah","كفرات مكة"
"Tyres Dammam","كفرات الدمام"
"Tyres Yanbu","كفرات ينبع"
"Tyres Abha","كفرات أبها"
"Tyres Hail","كفرات حائل"
"Tyres Alkhobar","كفرات الخبر"
"Tyres Hassa","كفرات الإحساء"
"Tyre Brands","ماركات الكفرات"
"SEE ALL BRANDS","اكتشف كل العلامات التجارية"
"Everything you need to know about tyres and anything automotive.","كل ما تريد معرفته عن الكفرات والسيارات"
"ALL POSTS","كل مقالات"
"TYRESONLINE BLOG","<span>المدونة</span> تايرز أونلاين"
"The Tyre Brands We Trust","العلامات التجارية التي <span>نثق بها</span>"
"Tyres Brand","العلامات التجارية"
"FAQs","الأسئلة الشائعة"
"© Tyresonline, All Rights Reserved.","جميع الحقوق محفوظة لتايرز أونلاين ©"
"Al-Talayi Company Limited","شركة الطلائع المحدودة"
"Fourth Floor, Bridgestone Bldg. Al Sharafeyah, Palestine St. Jeddah, KSA","المملكة العربية السعودية، جدة، شارع فلسطين، الشرفية، مبنى بريجستون، الطابق الرابع"
"Brazil","لبرازيل"
"Britain","بريطانيا"
"C. Republic","التشيك"
"Canada","كندا"
"China","الصين"
"Costa Rica","كوستاريكا"
"Denmark","الدنمارك"
"Europe","أوروبا"
"France","فرنسا"
"Germany","ألمانيا"
"Hungary","المجر"
"India","الهند"
"Indonesia","إندونيسيا"
"Italy","إيطاليا"
"Japan","اليابان"
"Korea","كوريا"
"Luxembourg","لوكسمبورغ"
"Malaysia","ماليزيا"
"Mexico","المكسيك"
"None","بدون"
"Philippines","الفلبين"
"Poland","بولندا"
"Portagal","البرتغال"
"Portugal","البرتغال"
"Romania","رومانيا"
"Russia","روسيا"
"Serbia","صربيا"
"Slovakia","سلوفاكيا"
"Slovenia","سلوفينيا"
"South Korea","كوريا الجنوبية"
"Spain","إسبانيا"
"Taiwan","تايوان"
